,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,DATE
67,202692.0,Alec Burks,1610612762.0,UTA,1.0,0.0,1.0,26.43,26.43,9926.0,1.88,0.94,0.94,4.24,4.31,3.83,10/28/2015
68,203458.0,Alex Len,1610612756.0,PHX,1.0,0.0,1.0,13.55,13.55,5069.0,0.96,0.54,0.42,4.37,4.26,3.71,10/28/2015
69,201582.0,Alexis Ajinca,1610612740.0,NOP,1.0,0.0,1.0,7.35,7.35,2587.0,0.49,0.27,0.22,4.08,4.55,3.54,10/28/2015
70,203459.0,Allen Crabbe,1610612757.0,POR,1.0,1.0,0.0,21.57,21.57,8712.0,1.65,0.96,0.69,4.74,5.42,3.96,10/28/2015
71,202087.0,Alonzo Gee,1610612740.0,NOP,1.0,0.0,1.0,17.92,17.92,7920.0,1.5,0.86,0.64,5.0,5.44,4.41,10/28/2015
72,101161.0,Amir Johnson,1610612738.0,BOS,1.0,1.0,0.0,20.03,20.03,7392.0,1.4,0.69,0.71,4.2,4.67,3.75,10/28/2015
73,2760.0,Anderson Varejao,1610612744.0,GSW,1.0,1.0,0.0,10.87,10.87,4118.0,0.78,0.45,0.33,4.41,5.33,3.36,10/28/2015
74,203083.0,Andre Drummond,1610612765.0,DET,1.0,1.0,0.0,36.12,36.12,11510.0,2.18,1.12,1.06,3.63,3.73,3.53,10/28/2015
75,203460.0,Andre Roberson,1610612760.0,OKC,1.0,1.0,0.0,16.58,16.58,6970.0,1.32,0.62,0.7,4.73,4.84,4.6,10/28/2015
76,200745.0,Andrea Bargnani,1610612751.0,BKN,1.0,0.0,1.0,22.15,22.15,7550.0,1.43,0.77,0.66,3.82,4.47,3.71,10/28/2015
77,203952.0,Andrew Wiggins,1610612750.0,MIN,1.0,1.0,0.0,29.08,29.08,10032.0,1.9,1.03,0.87,3.9,4.18,3.72,10/28/2015
78,203076.0,Anthony Davis,1610612740.0,NOP,1.0,0.0,1.0,40.65,40.65,14467.0,2.74,1.43,1.31,3.94,4.21,3.77,10/28/2015
